
---------- Begin Simulation Statistics ----------
simSeconds                                   0.310877                       # Number of seconds simulated (Second)
simTicks                                 310876891500                       # Number of ticks simulated (Tick)
finalTick                                310876891500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   9732.47                       # Real time elapsed on the host (Second)
hostTickRate                                 31942235                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1218144                       # Number of bytes of host memory used (Byte)
simInsts                                    419443135                       # Number of instructions simulated (Count)
simOps                                      829696736                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    43097                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      85250                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        621753784                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1376499627                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 48786643                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1165818568                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1526219                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            595589528                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1134491772                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            23056147                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           621653791                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.875350                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.065432                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 242485974     39.01%     39.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95802540     15.41%     54.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  74423455     11.97%     66.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  64548804     10.38%     76.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  66545890     10.70%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  29113937      4.68%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  31898131      5.13%     97.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10299805      1.66%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6535255      1.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             621653791                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                14935023     52.96%     52.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     52.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     52.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     52.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     52.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     52.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     52.96% # attempts to use FU when none available (Count)
