
---------- Begin Simulation Statistics ----------
simSeconds                                   0.309929                       # Number of seconds simulated (Second)
simTicks                                 309929077000                       # Number of ticks simulated (Tick)
finalTick                                309929077000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   9741.30                       # Real time elapsed on the host (Second)
hostTickRate                                 31815973                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1219172                       # Number of bytes of host memory used (Byte)
simInsts                                    419443135                       # Number of instructions simulated (Count)
simOps                                      829696736                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    43058                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      85173                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        619858155                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1369106265                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 48874723                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1161416625                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1396614                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            588284246                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1123976722                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            23144227                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           619755249                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.873992                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.059406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 241285433     38.93%     38.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95589718     15.42%     54.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  74544924     12.03%     66.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  64234578     10.36%     76.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  66943628     10.80%     87.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  29320047      4.73%     92.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  31485444      5.08%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10065902      1.62%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6285575      1.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             619755249                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                14902498     52.90%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     52.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     17      0.00%     52.90% # attempts to use FU when none available (Count)
