
---------- Begin Simulation Statistics ----------
simSeconds                                   0.133630                       # Number of seconds simulated (Second)
simTicks                                 133629540000                       # Number of ticks simulated (Tick)
finalTick                                133629540000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2885.67                       # Real time elapsed on the host (Second)
hostTickRate                                 46307956                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1216816                       # Number of bytes of host memory used (Byte)
simInsts                                    262991506                       # Number of instructions simulated (Count)
simOps                                      573706032                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    91137                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     198812                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        267259081                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       689234590                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   170528                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      669010156                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44790                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            115699080                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         143166919                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  38                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           266930999                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.506304                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.925098                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  65304888     24.47%     24.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  24854925      9.31%     33.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  38167467     14.30%     48.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  51139829     19.16%     67.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  43330576     16.23%     83.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  26919947     10.08%     93.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  14342682      5.37%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2542801      0.95%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    327884      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             266930999                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2553227     98.88%     98.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.88% # attempts to use FU when none available (Count)
