
---------- Begin Simulation Statistics ----------
simSeconds                                   0.312002                       # Number of seconds simulated (Second)
simTicks                                 312002154500                       # Number of ticks simulated (Tick)
finalTick                                312002154500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6535.83                       # Real time elapsed on the host (Second)
hostTickRate                                 47737208                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1194268                       # Number of bytes of host memory used (Byte)
simInsts                                    414059434                       # Number of instructions simulated (Count)
simOps                                      824295576                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    63352                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     126120                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        624004310                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1363542963                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 49110593                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1153483352                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1474601                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            588357969                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1132758606                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            23380079                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           623702481                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.849413                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.059503                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 244191204     39.15%     39.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 103229191     16.55%     55.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  71834851     11.52%     67.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  57408292      9.20%     76.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  73404538     11.77%     88.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  23719756      3.80%     92.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  33551966      5.38%     97.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10070609      1.61%     98.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6292074      1.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             623702481                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                15082247     53.51%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     53.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     53.51% # attempts to use FU when none available (Count)
