
---------- Begin Simulation Statistics ----------
simSeconds                                   0.309937                       # Number of seconds simulated (Second)
simTicks                                 309936794000                       # Number of ticks simulated (Tick)
finalTick                                309936794000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   9640.79                       # Real time elapsed on the host (Second)
hostTickRate                                 32148500                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1219168                       # Number of bytes of host memory used (Byte)
simInsts                                    419443135                       # Number of instructions simulated (Count)
simOps                                      829696736                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    43507                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      86061                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        619873589                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1368776562                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 48874686                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1161129512                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1397215                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            587954506                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1123710952                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            23144190                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           619769948                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.873485                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.058576                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 241298107     38.93%     38.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95598724     15.42%     54.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  74541511     12.03%     66.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  64284120     10.37%     76.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  66917706     10.80%     87.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  29375753      4.74%     92.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  31459813      5.08%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10066773      1.62%     99.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6227441      1.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             619769948                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                14833110     52.78%     52.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     52.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     52.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     52.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     52.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     52.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     52.78% # attempts to use FU when none available (Count)
