
---------- Begin Simulation Statistics ----------
simSeconds                                   0.303263                       # Number of seconds simulated (Second)
simTicks                                 303262646000                       # Number of ticks simulated (Tick)
finalTick                                303262646000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2235.34                       # Real time elapsed on the host (Second)
hostTickRate                                135667049                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1209080                       # Number of bytes of host memory used (Byte)
simInsts                                    419442962                       # Number of instructions simulated (Count)
simOps                                      829696388                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   187641                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     371172                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        606525293                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       915662846                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 25730528                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      921467855                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  36048                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            111696980                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         144353032                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  32                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           606408908                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.519549                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.661820                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 235762645     38.88%     38.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 123571229     20.38%     59.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90883671     14.99%     74.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  66416906     10.95%     85.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  47576136      7.85%     93.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  27819897      4.59%     97.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13200990      2.18%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1150875      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     26559      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             606408908                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2912286     40.28%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     40.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     40.28% # attempts to use FU when none available (Count)
